"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4195,Scoresbysund 1952,6195,Scoresbysund 1952,9108,7022,8901,9606,105.0,326.0,-102.5,0.0,0.0,0.814,-0.6
4196,Ammassalik 1958,6196,Ammassalik 1958,9108,7022,8901,9606,-45.0,417.0,-3.5,0.0,0.0,0.814,-0.6
4197,Garoua,6197,Garoua,9108,7012,8901,,,,,,,,
4198,Kousseri,6198,Kousseri,9108,7012,8901,,,,,,,,
4199,Egypt 1930,6199,Egypt 1930,9108,7022,8901,,,,,,,,
4200,Pulkovo 1995,6200,Pulkovo 1995,9108,7024,8901,,,,,,,,
4201,Adindan,6201,Adindan,9108,7012,8901,,,,,,,,
4202,AGD66,6202,Australian Geodetic Datum 1966,9108,7003,8901,,,,,,,,
4203,AGD84,6203,Australian Geodetic Datum 1984,9108,7003,8901,,,,,,,,
4204,Ain el Abd,6204,Ain el Abd 1970,9108,7022,8901,,,,,,,,
4205,Afgooye,6205,Afgooye,9108,7024,8901,9603,-43.0,-163.0,45.0,,,,
4206,Agadez,6206,Agadez,9108,7011,8901,,,,,,,,
4207,Lisbon,6207,Lisbon 1937,9108,7022,8901,,,,,,,,
4208,Aratu,6208,Aratu,9108,7022,8901,,,,,,,,
4209,Arc 1950,6209,Arc 1950,9108,7013,8901,,,,,,,,
4210,Arc 1960,6210,Arc 1960,9108,7012,8901,,,,,,,,
4211,Batavia,6211,Batavia,9108,7004,8901,,,,,,,,
4212,Barbados 1938,6212,Barbados 1938,9108,7012,8901,,,,,,,,
4213,Beduaram,6213,Beduaram,9108,7011,8901,,,,,,,,
4214,Beijing 1954,6214,Beijing 1954,9108,7024,8901,,,,,,,,
4215,Belge 1950,6215,Reseau National Belge 1950,9108,7022,8901,,,,,,,,
4216,Bermuda 1957,6216,Bermuda 1957,9108,7008,8901,9603,-73.0,213.0,296.0,,,,
4218,Bogota 1975,6218,Bogota 1975,9108,7022,8901,,,,,,,,
4219,Bukit Rimpah,6219,Bukit Rimpah,9108,7004,8901,9603,-384.0,664.0,-48.0,,,,
4220,Camacupa,6220,Camacupa,9108,7012,8901,,,,,,,,
4221,Campo Inchauspe,6221,Campo Inchauspe,9108,7022,8901,,,,,,,,
4222,Cape,6222,Cape,9108,7013,8901,,,,,,,,
4223,Carthage,6223,Carthage,9108,7011,8901,,,,,,,,
4224,Chua,6224,Chua,9108,7022,8901,9603,-134.0,229.0,-29.0,,,,
4225,Corrego Alegre,6225,Corrego Alegre,9108,7022,8901,9603,-206.0,172.0,-6.0,,,,
4226,"Cote d'Ivoire",6226,"Cote d'Ivoire",9108,7011,8901,,,,,,,,
4227,Deir ez Zor,6227,Deir ez Zor,9108,7011,8901,,,,,,,,
4228,Douala,6228,Douala,9108,7011,8901,,,,,,,,
4229,Egypt 1907,6229,Egypt 1907,9108,7020,8901,,,,,,,,
4230,ED50,6230,European Datum 1950,9108,7022,8901,,,,,,,,
4231,ED87,6231,European Datum 1987,9108,7022,8901,9606,-82.981,-99.719,-110.709,-0.5076,0.1503,0.3898,-0.3143
4232,Fahud,6232,Fahud,9108,7012,8901,,,,,,,,
4233,Gandajika 1970,6233,Gandajika 1970,9108,7022,8901,,,,,,,,
4234,Garoua,6234,Garoua,9108,7011,8901,,,,,,,,
4235,Guyane Francaise,6235,Guyane Francaise,9108,7022,8901,,,,,,,,
4236,Hu Tzu Shan,6236,Hu Tzu Shan,9108,7022,8901,9603,-637.0,-549.0,-203.0,,,,
4237,HD72,6237,Hungarian Datum 1972,9108,7036,8901,,,,,,,,
4238,ID74,6238,Indonesian Datum 1974,9108,7021,8901,,,,,,,,
4239,Indian 1954,6239,Indian 1954,9108,7015,8901,9603,217.0,823.0,299.0,,,,
4240,Indian 1975,6240,Indian 1975,9108,7015,8901,,,,,,,,
4241,Jamaica 1875,6241,Jamaica 1875,9108,7034,8901,,,,,,,,
4242,JAD69,6242,Jamaica 1969,9108,7008,8901,,,,,,,,
4243,Kalianpur 1880,6243,Kalianpur 1880,9108,7042,8901,,,,,,,,
4244,Kandawala,6244,Kandawala,9108,7015,8901,9603,-97.0,787.0,86.0,,,,
4245,Kertau,6245,Kertau,9108,7018,8901,9603,-11.0,851.0,5.0,,,,
4246,KOC,6246,Kuwait Oil Company,9108,7012,8901,,,,,,,,
4247,La Canoa,6247,La Canoa,9108,7022,8901,9603,-273.5,110.6,-357.9,,,,
4248,PSAD56,6248,Provisional South American Datum 1956,9108,7022,8901,,,,,,,,
4249,Lake,6249,Lake,9108,7022,8901,,,,,,,,
4250,Leigon,6250,Leigon,9108,7012,8901,9603,-130.0,29.0,364.0,,,,
4251,Liberia 1964,6251,Liberia 1964,9108,7012,8901,9603,-90.0,40.0,88.0,,,,
4252,Lome,6252,Lome,9108,7011,8901,,,,,,,,
4253,Luzon 1911,6253,Luzon 1911,9108,7008,8901,,,,,,,,
4254,Hito XVIII 1963,6254,Hito XVIII 1963,9108,7022,8901,9606,18.38,192.45,96.82,0.056,-0.142,-0.2,-0.0013
4255,Herat North,6255,Herat North,9108,7022,8901,9603,-333.0,-222.0,114.0,,,,
4256,Mahe 1971,6256,Mahe 1971,9108,7012,8901,9603,41.0,-220.0,-134.0,,,,
4257,Makassar,6257,Makassar,9108,7004,8901,9603,-587.8,519.75,145.76,,,,
4258,ETRS89,6258,European Terrestrial Reference System 1989,9108,7019,8901,,,,,,,,
4259,Malongo 1987,6259,Malongo 1987,9108,7022,8901,,,,,,,,
4260,Manoca,6260,Manoca,9108,7012,8901,9603,-70.9,-151.8,-41.4,,,,
4261,Merchich,6261,Merchich,9108,7011,8901,9603,31.0,146.0,47.0,,,,
4262,Massawa,6262,Massawa,9108,7004,8901,9603,639.0,405.0,60.0,,,,
4263,Minna,6263,Minna,9108,7012,8901,,,,,,,,
4264,Mhast,6264,Mhast,9108,7022,8901,9603,-252.95,-4.11,-96.38,,,,
4265,Monte Mario,6265,Monte Mario,9108,7022,8901,,,,,,,,
4266,"M'poraloko",6266,"M'poraloko",9108,7011,8901,,,,,,,,
4267,NAD27,6267,North American Datum 1927,9108,7008,8901,,,,,,,,
4268,NAD27 Michigan,6268,NAD Michigan,9108,7009,8901,,,,,,,,
4269,NAD83,6269,North American Datum 1983,9108,7019,8901,,,,,,,,
4270,Nahrwan 1967,6270,Nahrwan 1967,9108,7012,8901,,,,,,,,
4271,Naparima 1972,6271,Naparima 1972,9108,7022,8901,,,,,,,,
4272,NZGD49,6272,New Zealand Geodetic Datum 1949,9108,7022,8901,,,,,,,,
4273,NGO 1948,6273,NGO 1948,9108,7005,8901,9606,278.3,93.0,474.5,7.889,0.05,-6.61,6.21
4274,Datum 73,6274,Datum 73,9108,7022,8901,,,,,,,,
4275,NTF,6275,Nouvelle Triangulation Francaise,9108,7011,8901,9603,-168.0,-60.0,320.0,,,,
4276,NSWC 9Z-2,6276,NSWC 9Z-2,9108,7025,8901,,,,,,,,
4277,OSGB 1936,6277,OSGB 1936,9108,7001,8901,,,,,,,,
4278,OSGB70,6278,"OSGB 1970 (SN)",9108,7001,8901,,,,,,,,
4279,"OS(SN)80",6279,"OS (SN) 1980",9108,7001,8901,,,,,,,,
4280,Padang,6280,Padang 1884,9108,7004,8901,,,,,,,,
4281,Palestine 1923,6281,Palestine 1923,9108,7010,8901,,,,,,,,
4282,Pointe Noire,6282,Congo 1960 Pointe Noire,9108,7011,8901,,,,,,,,
4283,GDA94,6283,Geocentric Datum of Australia 1994,9108,7019,8901,9603,0.0,0.0,0.0,,,,
4284,Pulkovo 1942,6284,Pulkovo 1942,9108,7024,8901,,,,,,,,
4285,Qatar 1974,6285,Qatar 1974,9108,7022,8901,,,,,,,,
4286,Qatar 1948,6286,Qatar 1948,9108,7020,8901,,,,,,,,
4287,Qornoq,6287,Qornoq,9108,7022,8901,9603,164.0,138.0,-189.0,,,,
4288,Loma Quintana,6288,Loma Quintana,9108,7022,8901,,,,,,,,
4289,Amersfoort,6289,Amersfoort,9108,7004,8901,,,,,,,,
4291,SAD69,6291,South American Datum 1969,9108,7036,8901,,,,,,,,
4292,Sapper Hill 1943,6292,Sapper Hill 1943,9108,7022,8901,9603,-355.0,21.0,72.0,,,,
4293,Schwarzeck,6293,Schwarzeck,9108,7046,8901,,,,,,,,
4294,Segora,6294,Segora,9108,7004,8901,,,,,,,,
4295,Serindung,6295,Serindung,9108,7004,8901,,,,,,,,
4296,Sudan,6296,Sudan,9108,7011,8901,,,,,,,,
4297,Tananarive,6297,Tananarive 1925,9108,7022,8901,9603,-189.0,-242.0,-91.0,,,,
4298,Timbalai 1948,6298,Timbalai 1948,9108,7016,8901,,,,,,,,
4299,TM65,6299,TM65,9108,7002,8901,,,,,,,,
4300,TM75,6300,TM75,9108,7002,8901,,,,,,,,
4301,Tokyo,6301,Tokyo,9108,7004,8901,,,,,,,,
4302,Trinidad 1903,6302,Trinidad 1903,9108,7007,8901,9603,-61.702,284.488,472.052,,,,
4303,"TC(1948)",6303,Trucial Coast 1948,9108,7020,8901,,,,,,,,
4304,Voirol 1875,6304,Voirol 1875,9108,7011,8901,9603,-73.0,-247.0,227.0,,,,
4306,Bern 1938,6306,Bern 1938,9108,7004,8901,,,,,,,,
4307,Nord Sahara 1959,6307,Nord Sahara 1959,9108,7012,8901,,,,,,,,
4308,RT38,6308,Stockholm 1938,9108,7004,8901,,,,,,,,
4309,Yacare,6309,Yacare,9108,7022,8901,9603,-155.0,171.0,37.0,,,,
4310,Yoff,6310,Yoff,9108,7011,8901,,,,,,,,
4311,Zanderij,6311,Zanderij,9108,7022,8901,9603,-265.0,120.0,-358.0,,,,
4312,MGI,6312,Militar-Geographische Institut,9108,7004,8901,,,,,,,,
4313,Belge 1972,6313,Reseau National Belge 1972,9108,7022,8901,,,,,,,,
4314,DHDN,6314,Deutsches Hauptdreiecksnetz,9108,7004,8901,,,,,,,,
4315,Conakry 1905,6315,Conakry 1905,9108,7011,8901,9603,-23.0,259.0,-9.0,,,,
4316,Dealul Piscului 1933,6316,Dealul Piscului 1933,9108,7022,8901,9603,103.25,-100.4,-307.19,,,,
4317,Dealul Piscului 1970,6317,Dealul Piscului 1970,9108,7024,8901,,,,,,,,
4318,NGN,6318,National Geodetic Network,9108,7030,8901,,,,,,,,
4319,KUDAMS,6319,Kuwait Utility,9108,7019,8901,,,,,,,,
4322,WGS 72,6322,World Geodetic System 1972,9108,7043,8901,,,,,,,,
4324,WGS 72BE,6324,WGS 72 Transit Broadcast Ephemeris,9108,7043,8901,9606,0.0,0.0,1.9,0.0,0.0,0.814,-0.38
4326,WGS 84,6326,World Geodetic System 1984,9108,7030,8901,,,,,,,,
4600,Anguilla 1957,6600,Anguilla 1957,9108,7012,8901,,,,,,,,
4601,Antigua 1943,6601,Antigua 1943,9108,7012,8901,9603,-255.0,-15.0,71.0,,,,
4602,Dominica 1945,6602,Dominica 1945,9108,7012,8901,9603,725.0,685.0,536.0,,,,
4603,Grenada 1953,6603,Grenada 1953,9108,7012,8901,9603,72.0,213.7,93.0,,,,
4604,Montserrat 1958,6604,Montserrat 1958,9108,7012,8901,9603,174.0,359.0,365.0,,,,
4605,St. Kitts 1955,6605,St. Kitts 1955,9108,7012,8901,9603,9.0,183.0,236.0,,,,
4606,St. Lucia 1955,6606,St. Lucia 1955,9108,7012,8901,9603,-149.0,128.0,296.0,,,,
4607,St. Vincent 1945,6607,St. Vincent 1945,9108,7012,8901,,,,,,,,
4608,"NAD27(76)",6608,"North American Datum 1927 (1976)",9108,7008,8901,,,,,,,,
4609,"NAD27(CGQ77)",6609,"North American Datum 1927 (CGQ77)",9108,7008,8901,,,,,,,,
4610,Xian 1980,6610,Xian 1980,9108,7049,8901,,,,,,,,
4611,Hong Kong 1980,6611,Hong Kong 1980,9108,7022,8901,9606,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.094246
4612,JGD2000,6612,Japanese Geodetic Datum 2000,9108,7019,8901,9603,0.0,0.0,0.0,,,,
4613,Segara,6613,Gunung Segara,9108,7004,8901,9603,-404.78,685.68,45.47,,,,
4614,QND95,6614,Qatar National Datum 1995,9108,7022,8901,9606,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.657065
4615,Porto Santo,6615,Porto Santo,9108,7022,8901,,,,,,,,
4616,Selvagem Grande,6616,Selvagem Grande,9108,7022,8901,,,,,,,,
4617,"NAD83(CSRS)",6140,NAD83 Canadian Spatial Reference System,9108,7019,8901,9603,0.0,0.0,0.0,,,,
4801,"Bern 1898 (Bern)",6801,"CH1903 (Bern)",9108,7004,8907,,,,,,,,
4802,"Bogota 1975 (Bogota)",6802,"Bogota 1975 (Bogota)",9108,7022,8904,,,,,,,,
4803,"Lisbon (Lisbon)",6803,"Lisbon 1937 (Lisbon)",9108,7022,8902,,,,,,,,
4804,"Makassar (Jakarta)",6804,"Makassar (Jakarta)",9108,7004,8908,,,,,,,,
4805,"MGI (Ferro)",6805,"Militar-Geographische Institut (Ferro)",9108,7004,8909,,,,,,,,
4806,"Monte Mario (Rome)",6806,"Monte Mario (Rome)",9108,7022,8906,,,,,,,,
4807,"NTF (Paris)",6807,"Nouvelle Triangulation Francaise (Paris)",9105,7011,8903,,,,,,,,
4808,"Padang (Jakarta)",6808,"Padang 1884 (Jakarta)",9108,7004,8908,,,,,,,,
4809,"Belge 1950 (Brussels)",6809,"Reseau National Belge 1950 (Brussels)",9108,7022,8910,,,,,,,,
4810,"Tananarive (Paris)",6810,"Tananarive 1925 (Paris)",9105,7022,8903,,,,,,,,
4811,"Voirol 1875 (Paris)",6811,"Voirol 1875 (Paris)",9105,7011,8903,,,,,,,,
4813,"Batavia (Jakarta)",6813,"Batavia (Jakarta)",9108,7004,8908,,,,,,,,
4814,"RT38 (Stockholm)",6814,"Stockholm 1938 (Stockholm)",9108,7004,8911,,,,,,,,
4815,"Greek (Athens)",6815,"Greek (Athens)",9108,7004,8912,,,,,,,,
4816,"Carthage (Paris)",6816,"Carthage (Paris)",9105,7011,8903,,,,,,,,
4817,"NGO 1948 (Oslo)",6817,"NGO 1948 (Oslo)",9108,7005,8913,9606,278.3,93.0,474.5,7.889,0.05,-6.61,6.21
4818,"S-JTSK (Ferro)",6818,"S-JTSK (Ferro)",9108,7004,8909,,,,,,,,
4819,"Nord Sahara 1959 (Paris)",6819,"Nord Sahara 1959 (Paris)",9105,7012,8903,,,,,,,,
4820,"Segara (Jakarta)",6820,"Gunung Segara (Jakarta)",9108,7004,8908,,,,,,,,
4901,"ATF (Paris)",6901,"Ancienne Triangulation Francaise (Paris)",9105,7027,8903,,,,,,,,
4902,"NDG (Paris)",6902,"Nord de Guerre (Paris)",9105,7027,8903,,,,,,,,
4903,"Madrid 1870 (Madrid)",6903,"Madrid 1870 (Madrid)",9108,7028,8905,,,,,,,,
4904,"Lisbon 1890 (Lisbon)",6904,"Lisbon 1890 (Lisbon)",9108,7004,8902,,,,,,,,
